,origin_crs,Count
0,AAP,65
1,ABW,67
2,ABY,30
3,ACB,9
4,ACC,70
5,ACG,36
6,ACK,1
7,ACL,1
8,ACR,6
9,ACT,16
10,ADC,9
11,ADD,35
12,ADK,29
13,ADL,11
14,ADM,1
15,ADV,2
16,AFK,2
17,AFS,50
18,AFV,4
19,AGT,3
20,AHD,47
21,AHN,27
22,AHT,14
23,AHV,12
24,AIG,30
25,AIN,29
26,ALB,19
27,ALD,21
28,ALF,4
29,ALK,4
30,ALP,2
31,ALR,6
32,ALT,26
33,ALV,29
34,ALW,7
35,AMB,10
36,AML,69
37,AMR,13
38,AMT,8
39,AMY,3
40,ANC,1
41,ANF,10
42,ANG,3
43,ANS,25
44,ANZ,71
45,AON,3
46,APB,38
47,APD,1
48,APF,4
49,APG,7
50,APN,4
51,APS,6
52,APY,23
53,ARL,4
54,ARN,1
55,ARR,2
56,ARU,2
57,ASC,3
58,ASG,4
59,ASH,14
60,ASK,1
61,ASN,24
62,ASP,2
63,AST,36
64,ASY,23
65,ATB,12
66,ATH,13
67,ATL,1
68,ATN,41
69,AUD,4
70,AUG,25
71,AUW,2
72,AVF,6
73,AVN,12
74,AVP,2
75,AWK,20
76,AWM,4
77,AWT,1
78,AXM,1
79,AYH,1
80,AYL,6
81,AYP,68
82,AYS,3
83,BAA,3
84,BAB,6
85,BAC,29
86,BAD,63
87,BAG,16
88,BAH,29
89,BAK,68
90,BAL,75
91,BAM,10
92,BAN,2
93,BAR,1
94,BAS,2
95,BAU,2
96,BAV,3
97,BAW,13
98,BAY,2
99,BBK,25
100,BBL,6
101,BBN,7
102,BBS,37
103,BBW,23
104,BCB,14
105,BCE,14
106,BCF,7
107,BCJ,27
108,BCS,3
109,BCU,7
110,BCV,61
111,BCY,72
112,BDA,1
113,BDB,25
114,BDH,5
115,BDI,22
116,BDK,3
117,BDL,27
118,BDM,5
119,BDQ,22
120,BDS,17
121,BDW,2
122,BDY,25
123,BEB,30
124,BEC,72
125,BEE,12
126,BEF,6
127,BEG,5
128,BEH,13
129,BEN,1
130,BEP,19
131,BER,13
132,BES,22
133,BET,65
134,BEU,9
135,BEV,2
136,BEY,23
137,BFD,73
138,BFE,2
139,BFN,20
140,BFR,76
141,BGA,1
142,BGE,31
143,BGG,2
144,BGH,23
145,BGM,72
146,BHI,32
147,BHK,64
148,BHM,37
149,BHO,63
150,BHS,26
151,BIA,8
152,BIC,3
153,BID,28
154,BIG,2
155,BIK,71
156,BIL,8
157,BIN,10
158,BIP,2
159,BIS,5
160,BIT,5
161,BIW,4
162,BIY,23
163,BKA,31
164,BKC,28
165,BKD,23
166,BKG,79
