,origin_crs,Count
0,AAP,1660
1,ABW,1548
2,ABY,1265
3,ACB,1761
4,ACC,1738
5,ACG,1772
6,ACK,1652
7,ACL,1708
8,ACR,1314
9,ACT,1744
10,ADC,1564
11,ADD,1771
12,ADK,1265
13,ADL,1322
14,ADM,1509
15,ADV,1773
16,AFK,1506
17,AFS,1774
18,AFV,1328
19,AGT,1509
20,AHD,1542
21,AHN,1650
22,AHS,1521
23,AHT,1774
24,AHV,1770
25,AIG,1424
26,AIN,1420
27,ALB,1772
28,ALD,1423
29,ALF,1750
30,ALK,1771
31,ALM,1652
32,ALN,1515
33,ALP,1733
34,ALR,1773
35,ALT,1256
36,ALV,1772
37,ALW,1690
38,AMB,1763
39,AML,1749
40,AMR,1675
41,AMT,1773
42,AMY,1520
43,ANC,1771
44,ANF,1771
45,ANG,1500
46,ANS,1417
47,ANZ,1547
48,AON,1774
49,APB,1391
50,APD,1508
51,APF,1773
52,APG,1772
53,APN,1286
54,APP,1690
55,APS,1760
56,APY,1732
57,ARL,1772
58,ARN,1580
59,ARR,1713
60,ARU,1500
61,ASC,1771
62,ASG,1749
63,ASH,1773
64,ASK,1476
65,ASN,1773
66,ASP,1143
67,AST,1772
68,ASY,1240
69,ATB,1767
70,ATH,1770
71,ATL,1707
72,ATN,1396
73,AUD,1773
74,AUG,1415
75,AUW,1772
76,AVF,1750
77,AVN,1765
78,AVP,1771
79,AWK,1744
80,AWM,1772
81,AWT,1527
82,AXM,1689
83,AYH,1509
84,AYL,1518
85,AYP,1548
86,AYS,1771
87,BAA,1500
88,BAB,1520
89,BAC,1767
90,BAD,1544
91,BAG,1772
92,BAH,1424
93,BAK,1680
94,BAL,1558
95,BAM,1733
96,BAN,1768
97,BAR,1367
98,BAS,1410
99,BAT,1504
100,BAU,1736
101,BAV,1736
102,BAW,1771
103,BAY,1607
104,BBK,1772
105,BBL,1525
106,BBN,1314
107,BBS,1772
108,BBW,1734
109,BCB,1397
110,BCC,1716
111,BCE,1774
112,BCF,1760
113,BCH,1507
114,BCJ,1414
115,BCS,1764
116,BCU,1771
117,BCV,1649
118,BCY,1551
119,BDA,1709
120,BDB,1227
121,BDH,1773
122,BDI,1731
123,BDK,1746
124,BDL,1417
125,BDM,1773
126,BDN,1399
127,BDQ,1731
128,BDS,15
129,BDT,1697
130,BDW,1773
131,BDY,1225
132,BEB,1686
133,BEC,1544
134,BEE,1767
135,BEF,1531
136,BEG,1514
137,BEH,1771
138,BEM,1697
139,BEN,1582
140,BEP,1770
141,BER,1768
142,BES,1405
143,BET,1649
144,BEU,1771
145,BEV,1713
146,BEX,1506
147,BEY,1727
148,BFD,1644
149,BFE,1410
150,BFN,1772
151,BFR,1760
152,BGA,1709
153,BGE,1424
154,BGG,1727
155,BGH,1734
156,BGL,1347
157,BGM,1543
158,BHI,1771
159,BHK,1614
160,BHM,1771
161,BHO,1719
162,BHS,1734
163,BIA,1696
164,BIC,1525
165,BID,1419
166,BIF,1477
167,BIG,1517
168,BIK,1543
169,BIL,1690
170,BIN,1761
171,BIP,1509
172,BIS,1638
173,BIT,1773
174,BIW,1772
175,BIY,1718
176,BKA,1542
177,BKC,1419
178,BKD,1771
179,BKG,1684
180,BKH,1551
181,BKJ,1544
182,BKL,1543
183,BKM,1760
184,BKN,1419
185,BKO,1773
186,BKP,1419
187,BKQ,1419
188,BKS,1509
189,BKT,1772
190,BKW,1772
191,BLB,1515
192,BLD,1727
193,BLE,1727
194,BLK,1250
195,BLL,1662
196,BLM,1545
197,BLN,1424
198,BLO,1678
199,BLP,1772
200,BLV,1264
201,BLW,1767
202,BLX,1772
203,BLY,1772
204,BMB,1328
205,BMC,1250
206,BMD,1611
207,BME,1772
208,BMF,1717
209,BMG,1516
210,BMH,1761
211,BML,1264
212,BMN,1542
213,BMO,1771
214,BMP,1525
215,BMR,1686
216,BMS,1544
217,BMT,1771
218,BMV,1772
219,BMY,1773
220,BNA,1266
221,BNC,1663
222,BND,1707
223,BNE,1773
224,BNH,1548
225,BNI,1681
226,BNM,1770
227,BNP,1596
228,BNR,1671
229,BNS,1681
230,BNT,1225
231,BNW,1424
232,BNY,1742
233,BOA,1750
234,BOC,1165
