,origin_crs,Count
0,AAP,583
1,ABW,581
2,ABY,514
3,ACB,531
4,ACC,575
5,ACG,793
6,ACK,264
7,ACL,649
8,ACR,527
9,ACT,696
10,ADC,483
11,ADD,793
12,ADK,514
13,ADL,522
14,ADM,525
15,ADV,620
16,AFK,535
17,AFS,709
18,AFV,517
19,AGT,579
20,AHD,580
21,AHN,506
22,AHS,537
23,AHT,637
24,AHV,629
25,AIG,513
26,AIN,513
27,ALB,787
28,ALD,511
29,ALF,660
30,ALK,775
31,ALM,264
32,ALN,531
33,ALP,595
34,ALR,700
35,ALT,498
36,ALV,789
37,ALW,338
38,AMB,685
39,AML,590
40,AMR,664
41,AMT,719
42,AMY,571
43,ANC,775
44,ANF,595
45,ANG,563
46,ANS,497
47,ANZ,581
48,AON,618
49,APB,510
50,APD,531
51,APF,761
52,APG,654
53,APN,112
54,APP,352
55,APS,558
56,APY,408
57,ARL,717
58,ARN,488
59,ARR,395
60,ARU,563
61,ASC,774
62,ASG,528
63,ASH,631
64,ASK,465
65,ASN,700
66,ASP,364
67,AST,793
68,ASY,490
69,ATB,707
70,ATH,779
71,ATL,685
72,ATN,511
73,AUD,716
74,AUG,517
75,AUW,748
76,AVF,642
77,AVN,645
78,AVP,737
79,AWK,657
80,AWM,682
81,AWT,392
82,AXM,520
83,AYH,525
84,AYL,529
85,AYP,581
86,AYS,737
87,BAA,563
88,BAB,545
89,BAC,758
90,BAD,578
91,BAG,611
92,BAH,513
93,BAK,599
94,BAL,592
95,BAM,494
96,BAN,764
97,BAR,507
98,BAS,261
99,BAT,534
100,BAU,585
101,BAV,585
102,BAW,680
103,BAY,578
104,BBK,787
105,BBL,553
106,BBN,527
107,BBS,793
108,BBW,433
109,BCB,512
110,BCC,689
111,BCE,718
112,BCF,688
113,BCH,521
114,BCJ,517
115,BCS,763
116,BCU,577
117,BCV,579
118,BCY,582
119,BDA,693
120,BDB,503
121,BDH,597
122,BDI,408
123,BDK,658
124,BDL,497
125,BDM,696
126,BDN,435
127,BDQ,409
128,BDS,1
129,BDT,352
130,BDW,719
131,BDY,510
