,Station CRS,Number,Max distance,Mean distance,Median distance
0,ABA,133,73518.51100913293,27747.82073245389,26772.06379792189
0,AUR,269,106438.15904082521,58455.701254477644,62024.06108922569
0,AVY,43,133692.9392301628,52643.64670389514,42203.69838482944
0,ABE,134,56426.93860205425,22490.30242919191,18577.25338724057
0,AGL,175,92337.63428310257,48775.9891295528,45611.67466778654
0,ACY,135,63121.461896885754,24442.94132203932,20535.898129860307
0,ABD,21,96335.81272299518,54601.242629882254,53078.957346579446
0,ABH,33,87488.27822057078,32611.76626195829,24974.910129882817
0,AGV,154,89120.43817217238,42374.219731846904,39924.192028971214
0,AYW,53,124869.73212111893,63240.86454612675,57195.11781526555
0,ABW,667,84709.96829181322,29826.80983506581,27270.49054877653
0,ACB,307,106693.29172914293,35678.653567669586,33412.22709119936
0,AAT,45,141790.01293814738,62506.13057234194,55405.60258619931
0,ACH,24,88195.47494061133,45611.88498489994,41265.0421058794
0,AUK,250,135309.6966222303,52988.28484075736,46679.14995440432
0,ACN,37,103131.13237524351,54499.58902776301,52046.57857150651
0,ACK,38,77764.46489239157,42537.04447930715,41653.883699592145
0,ACL,59,83555.76028018654,41349.764662567926,39078.63866615622
0,ACG,173,109830.16206853198,30202.897307854782,22877.92167134069
0,ACR,386,94903.75190159766,45829.22655347399,45137.299197000044
0,ACC,660,91343.5933714018,26980.582516921848,21669.791184965303
0,AML,644,78015.36897304274,26297.402998646707,21657.019647218312
0,ADD,172,107090.13493314871,29629.721134420615,23074.196479245344
0,ADW,265,86139.6540508493,44407.6348432644,42018.82755384781
0,ADM,80,108968.65810865068,36939.39198734214,35481.67522505035
0,ADC,226,69705.21968977647,33195.845967625166,32086.452333663707
0,ASN,607,77567.50536790519,32225.787946274093,31366.834013014446
0,ADL,333,98835.66575381582,38733.22823582196,34988.84236676888
0,AWK,237,90223.23010178698,47927.27093996504,47668.96277880812
0,AUG,298,74118.22667198669,33966.801850988675,32114.539152851004
0,AIG,329,79226.3156407011,35999.92894730157,38430.731283245754
0,ANS,317,99670.38666023123,42212.71489047468,41744.73076058719
0,AIN,323,82614.12863427175,36434.400049243566,38027.91938286157
0,AIR,264,105047.54767247068,34384.8811686189,27912.692829607106
0,ADR,268,112240.09366086613,33954.20925928429,26847.956120473813
0,APN,68,93941.81007410918,52531.00901354012,58772.938210938155
0,AYP,665,82465.06883523472,30163.716964725172,27459.435992022853
0,ALB,172,123698.3815577229,42276.65571502369,38536.865466719006
0,ALD,348,94052.05488451595,39561.43044374213,42032.38772660911
0,AMT,132,86531.7025141653,38079.793127112105,35292.24362237306
0,AHT,525,79080.1077515705,45751.720613769,47844.3435871986
0,AGT,214,94698.07719800861,49368.95468973409,53100.097232435626
0,LPY,328,79831.94811602683,35332.69431097476,36499.39412786519
0,AAP,638,81440.95790816806,27479.19170294668,24021.016319048616
0,ALF,137,77176.74520216566,41988.940587002384,43459.7386508084
0,ALW,75,86422.8480495754,36856.059498510476,35002.6880396349
0,ALO,269,129684.36769711298,47339.28779666221,43754.348926706705
0,ASS,43,108435.6048537564,51812.331177795626,41679.99142570079
0,ALM,38,86360.92417870481,50208.88570640299,49587.791098777656
0,ALR,115,106451.05553727497,46741.541401975235,41100.63888797837
0,ASG,321,88643.77792603381,47363.275712966744,48880.57130214303
0,AYH,80,109962.18828306392,37489.74806432535,36636.60027229246
0,ALN,424,87789.95157191966,57226.14227550939,60009.69702473093
0,ABC,30,112313.31732702049,64634.4301176031,66420.65717832066
0,AON,447,88001.79939637598,59142.576022122405,63207.83854080125
0,ALP,128,84889.44295376193,47323.8564704687,48006.81567823564
0,ALT,362,82931.47711213156,36386.62631162277,39806.9400607482
0,ALV,148,98916.41825298771,28067.151718143272,23017.562859694768
0,ALX,263,145357.33770608212,41636.16903295558,33414.32675889416
0,AXP,272,120261.58629421117,31519.1934713254,26286.920188565262
0,AMB,139,90643.92050766559,50694.781201672595,56312.787180177824
0,AMR,346,78262.13468210537,42348.30011452121,43015.135127068934
0,AMY,302,108051.57991440939,55495.91600032013,58411.84887617857
0,AMF,108,132773.866498645,53251.28773054705,61155.34517930546
0,ANC,76,102849.01859035894,44718.73916894414,46924.35215322637
0,ADV,104,97696.67831610244,51230.40136692714,50144.792790478255
