,Station CRS,Number,Max distance,Mean distance,Median distance,Reachable Population
0,ABA,678,287660.3082196082,120050.52274274768,111227.62317695643,4541274.0
0,AUR,642,312124.92498997896,151610.46503749353,121916.69570117816,1695061.0
0,AVY,698,276809.7675769408,139270.03732111066,144284.5546821916,4551294.0
0,ABE,679,295603.85082911217,131301.3092420371,131490.6555615265,4533759.0
0,AGL,899,319968.30543821055,127049.64978632006,124634.32707324254,5994530.0
0,ACY,680,291400.5652997262,134042.73820563758,132883.43077469914,4534767.0
0,ABD,256,239382.27189998844,155368.78377755574,161351.3924730741,7173.0
0,ABH,645,319401.5498177803,150904.10484969817,155749.4091876712,4213138.0
0,AGV,981,264927.1483351602,138015.15965554953,143062.1845240739,6513404.0
0,AYW,683,268707.0732712483,142568.6844185008,144982.68495582498,4529423.0
0,ABW,1151,254235.12035318802,71252.50550668154,47125.73097081214,8224623.0
0,ACB,1077,323608.00299127336,110252.76976871987,99361.40480329172,7051309.0
0,AAT,271,234621.41345154325,169196.02074791057,194938.15352567594,0.0
0,ACH,115,224122.13586569266,121628.04554558647,122131.3200002358,0.0
0,AUK,737,296725.8667524623,151683.23087502545,161230.6121857947,2410017.0
0,ACN,271,235406.7823364484,170764.96001900994,194591.87477384557,0.0
0,ACK,521,217263.4460741153,150052.1353104479,161835.54887255665,1536748.0
0,ACL,286,211216.15113432967,120484.5034341723,134678.0724542789,2209925.0
0,ACG,1086,221170.90026719158,113372.60298371827,124146.73777429675,7318736.0
0,ACR,1159,303050.0223147987,127021.84934931582,116511.59395098842,6029621.0
0,ACC,1040,240206.63614688083,52692.51124768298,40709.60842783291,7578674.0
0,AML,1050,240277.84689604657,53440.89615041638,41215.87779411346,7586320.0
0,ADD,1085,216868.2948819398,112322.45427380993,123558.60207497492,7319542.0
0,ADW,633,294544.4436753136,134798.22153719398,104766.65625765771,1530828.0
0,ADM,973,285299.3165151294,107074.49917359931,99244.91799979298,7139481.0
0,ADC,937,260148.59215456079,86130.89070063122,76477.62928464767,6121813.0
0,ASN,1128,220801.04327652077,64082.58558906607,49143.173112897464,8123672.0
0,ADL,1141,309385.11555179895,126479.77951292708,117564.5466329029,5944493.0
0,AWK,835,194801.88767565883,93677.28001768644,97911.24894004774,5607335.0
0,AUG,1061,324339.271875917,119893.41422356245,113097.29494996775,6346002.0
0,AIG,1008,307514.03496425983,109650.19054920945,105659.33368697931,6176108.0
0,ANS,1035,315565.4549170425,120375.84980884576,115003.92209398773,6139242.0
0,AIN,1002,319818.7621528793,111372.51025524236,108461.51190700149,6156153.0
0,AIR,706,315334.05784500984,148312.699430908,146209.7401781871,2167815.0
0,ADR,482,265756.28727275674,83722.22227271395,52029.70305508191,511807.0
0,APN,149,173088.57160425122,98715.52829209517,108422.88171783666,663266.0
0,AYP,1149,255252.92579126297,71568.40199657549,47498.996042021776,8227040.0
0,ALB,1013,227488.52723818843,107226.57378886972,107251.30708094791,6885271.0
0,ALD,1057,334280.8296298189,102026.76785545726,90527.8547630507,6883090.0
0,AMT,1313,274854.87125026545,96795.51072011617,83908.7705189392,9253918.0
0,AHT,1083,234227.3727214648,73762.8055544617,60310.96390273665,7768356.0
0,AGT,1084,256382.46875517836,92096.67878179795,79310.96010010218,7922898.0
0,LPY,1040,306494.0242843243,112488.0366762742,106932.86997925381,6394143.0
0,AAP,1066,252931.7693054789,57318.002954196505,44993.90772702181,7751946.0
0,ALF,880,225502.10780611343,94912.68109465225,89740.24827211481,6157460.0
0,ALW,547,194320.26442190737,110756.36467176817,119647.64147639225,3587992.0
